# Ancient / variant character forms -> standard simplified form, for MATCHING ONLY (texts are never altered).
# source: unihan:<field> = derived from the Unicode Unihan database (Unicode License, https://www.unicode.org/license.txt),
#         reviewed against contexts in the Kanripo KR3e corpus; manual = curated for this project from corpus contexts.
# columns: variant<TAB>standard<TAB>source<TAB>note
瞭	了	unihan:kSimplifiedVariant	
砲	炮	unihan:kSemanticVariant	
硏	研	unihan:kZVariant	
碁	棋	unihan:kSemanticVariant	
碪	砧	unihan:kSemanticVariant	
碯	瑙	unihan:kSemanticVariant	
磇	砒	unihan:kSemanticVariant	
磥	磊	unihan:kSemanticVariant	
礶	罐	unihan:kSemanticVariant	
祇	只	unihan:kSpecializedSemanticVariant	
祐	佑	unihan:kSemanticVariant	
禂	祷	unihan:kSemanticVariant	
秌	秋	unihan:kSemanticVariant	
秔	粳	unihan:kSemanticVariant	
稉	粳	unihan:kSemanticVariant	
稬	糯	unihan:kSemanticVariant	
稭	秸	unihan:kSemanticVariant	
穅	糠	unihan:kSemanticVariant	
穉	稚	unihan:kSemanticVariant	
穤	糯	unihan:kSemanticVariant	
穪	称	unihan:kSemanticVariant	
穽	阱	unihan:kSemanticVariant	
窓	窗	unihan:kSemanticVariant	
窰	窑	unihan:kSemanticVariant	
窻	窗	unihan:kSemanticVariant	
竆	穷	unihan:kSemanticVariant	
竒	奇	unihan:kSemanticVariant	
竝	并	unihan:kSemanticVariant	
竢	俟	unihan:kSemanticVariant	
笓	篦	unihan:kSemanticVariant	
筦	管	unihan:kSemanticVariant	
筭	算	unihan:kSemanticVariant	
筯	箸	unihan:kSemanticVariant	
箒	帚	unihan:kSemanticVariant	
箖	篮	unihan:kSemanticVariant	
箠	捶	unihan:kSemanticVariant	
篴	笛	unihan:kSemanticVariant	
簁	筛	unihan:kSemanticVariant	
簒	篡	unihan:kSemanticVariant	
簷	檐	unihan:kSemanticVariant	
籄	篑	unihan:kSemanticVariant	
籐	藤	unihan:kSemanticVariant	
籥	龠	unihan:kSemanticVariant	
粃	秕	unihan:kSemanticVariant	
粧	妆	unihan:kSemanticVariant	
糓	谷	unihan:kSemanticVariant	
紥	扎	unihan:kSemanticVariant	
綂	统	unihan:kSemanticVariant	
緜	绵	unihan:kSemanticVariant	
緫	总	unihan:kSemanticVariant	
縁	缘	unihan:kSemanticVariant	
縂	总	unihan:kSemanticVariant	
繖	伞	unihan:kSemanticVariant	
纎	纤	unihan:kSemanticVariant	
